Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 13:01:51 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ,%Weights,%Spec. Weights,X Dimension,Y Dimension,Type,Size type,      Area,hoop Dist
   0,      0.2,              1,       1e-08,       1e-08,    4,         3,        0.2,        0
   1,      0.8,              1,       1e-08,       1e-08,    2,         0,        0.8,        0
Pixels Per minimum Size:101
Factor [pixelsPerMinimumCircle / minimumSize]:1.01e+10
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[500x500]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No,Percolate Y[1]/N[0], Process Time, Setup Time   ,% Area Comp[0]  ,% Area Comp[1],Electric Conductivity, Thermal Conductivity, Young Modulus, Poisson Ratio ,Total Conductive Paths,Mean Real Path Length,Current Electric Conductivity
     86,                  1,0.04400000,     0.00900000            ,1.00000000            ,0.00000000,   3.44940598,   3.44940598,5422033.20327299,   0.08675253, 110.00000000, 764.74545455,   0.06377910
     87,                  1,0.04500000,     0.00800000            ,1.00000000            ,0.00000000,   3.40247234,   3.40247234,5404338.73267735,   0.08646942, 110.00000000, 760.67272727,   0.06465887
     88,                  1,0.04400000,     0.00800000            ,1.00000000            ,0.00000000,   3.66245437,   3.66245437,5184951.10568211,   0.08295922, 105.00000000, 769.00952381,   0.05733860
     89,                  1,0.04500000,     0.00900000            ,1.00000000            ,0.00000000,   3.33387599,   3.33387599,5337152.91110490,   0.08539444, 109.00000000, 751.22935780,   0.06538935
     90,                  1,0.04400000,     0.00800000            ,1.00000000            ,0.00000000,   3.44463623,   3.44463623,5412528.21151753,   0.08660045, 110.00000000, 758.50909091,   0.06386741
     91,                  1,0.04500000,     0.00900000            ,1.00000000            ,0.00000000,   3.44931152,   3.44931152,5086588.12233732,   0.08138541, 104.00000000, 750.91346154,   0.06030189
     92,                  1,0.04400000,     0.01000000            ,1.00000000            ,0.00000000,   3.47735382,   3.47735382,5374688.41461579,   0.08599501, 109.00000000, 764.41284404,   0.06269135
     93,                  1,0.04500000,     0.00900000            ,1.00000000            ,0.00000000,   3.51173297,   3.51173297,5323080.22151353,   0.08516928, 108.00000000, 765.33333333,   0.06150809
     94,                  1,0.04200000,     0.00900000            ,1.00000000            ,0.00000000,   3.69006221,   3.69006221,5150806.27197261,   0.08241290, 104.00000000, 773.91346154,   0.05636761
     95,                  1,0.04600000,     0.00800000            ,1.00000000            ,0.00000000,   3.60742295,   3.60742295,5243184.65070644,   0.08389095, 106.00000000, 773.11320755,   0.05876771
