Rerclolation 2d
Version 1.6 Cluster Analysis - Electric, Thermal properties - Mechanical properties calculation in progress...Report starting: Thu Jul 18 12:40:02 2024

---------------------------------------------------------------------------------------------------
Inputs
|#  ;%Weights;%Spec. Weights;X Dimension;Y Dimension;Type;Size type;      Area;hoop Dist
   0;      0.3;              1;       1e-08;       1e-08;    4;         3;        0.3;        0
   1;      0.7;              1;       1e-08;       1e-08;    2;         0;        0.7;        0
Pixels Per minimum Size:30
Factor [pixelsPerMinimumCircle / minimumSize]:3e+09
Maximum Dimension:1e-08
Minimum Dimension:1e-08
Grid size =[100x100]
Total iterations: 300
---------------------------------------------------------------------------------------------------
Realiazation No;Percolate Y[1]/N[0]; Process Time; Setup Time   ;% Area Comp[0]  ;% Area Comp[1];Electric Conductivity; Thermal Conductivity; Young Modulus; Poisson Ratio ;Total Conductive Paths;Mean Real Path Length;Current Electric Conductivity
     55;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   7.12478366;   7.12478366;94739.43661852;   0.03031662;   8.00000000; 179.62500000;   0.01122841
     56;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   6.61894481;   6.61894481;91454.59061355;   0.02926547;   8.00000000; 177.87500000;   0.01208652
     57;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   8.72213506;   8.72213506;66198.15467159;   0.02118341;   6.00000000; 180.16666667;   0.00687905
     58;                  1;0.00100000;     0.00100000            ;1.00000000            ;0.00000000;   5.06574231;   5.06574231;120066.94191745;   0.03842142;  10.00000000; 163.60000000;   0.01974044
     59;                  1;0.00000000;     0.00100000            ;1.00000000            ;0.00000000;   7.42915631;   7.42915631;82198.96070247;   0.02630367;   7.00000000; 162.28571429;   0.00942234
     60;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   4.78675931;   4.78675931;118149.02186568;   0.03780769;  10.00000000; 155.10000000;   0.02089096
     61;                  1;0.00000000;     0.00100000            ;1.00000000            ;0.00000000;   5.99669746;   5.99669746;95401.39658994;   0.03052845;   8.00000000; 163.62500000;   0.01334068
     62;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   6.86121772;   6.86121772;82936.80586663;   0.02653978;   7.00000000; 153.28571429;   0.01020227
     63;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   5.47992905;   5.47992905;107577.40669623;   0.03442477;   9.00000000; 161.55555556;   0.01642357
     64;                  1;0.00100000;     0.00000000            ;1.00000000            ;0.00000000;   3.94712200;   3.94712200;130274.00661740;   0.04168768;  11.00000000; 154.09090909;   0.02786841
